id,name,is_Male,is_Female
5551,Clint Eastwood,1,0
9350,Sylvester Stallone,1,0
9208,John Travolta,1,0
4244,Bruce Willis,1,0
1852,Nicolas Cage,1,0
11820,Julia Roberts,0,1
76493,Sacha Baron Cohen,1,0
345,Tom Cruise,1,0
196867,Quvenzhané Wallis,0,1
256591,Will Smith,1,0
59962,Reese Witherspoon,0,1
36648,Wesley Snipes,1,0
1880,Patrick Swayze,1,0
9440,John Travolta,1,0
71679,Milla Jovovich,0,1
10483,Jason Statham,1,0
11412,Geena Davis,0,1
11983,Meg Ryan,0,1
6795,Jonah Bobo,1,0
550,Edward Norton,1,0
11170,Matthew McConaughey,1,0
9292,Bruce Willis,1,0
10783,John Travolta,1,0
100241,Aaron Eckhart,1,0
257,Barney Clark,1,0
9947,Jennifer Garner,0,1
189,Mickey Rourke,1,0
12618,Harrison Ford,1,0
253412,Jason Clarke,1,0
1427,Ben Whishaw,1,0
818,Mike Myers,1,0
16577,Nicolas Cage,1,0
329,Sam Neill,1,0
12160,Kevin Costner,1,0
9331,Harrison Ford,1,0
300168,Jackie Chan,1,0
9072,Marlon Wayans,1,0
3536,Matthew McConaughey,1,0
9087,Michael Douglas,1,0
12177,Mike Myers,1,0
12138,Kurt Russell,1,0
273248,Samuel L. Jackson,1,0
9955,Will Ferrell,1,0
50359,Russell Brand,1,0
1271,Gerard Butler,1,0
693,Ben Stiller,1,0
14306,Owen Wilson,1,0
497,Tom Hanks,1,0
11199,Tim Allen,1,0
9982,Zach Braff,1,0
210577,Ben Affleck,1,0
2501,Matt Damon,1,0
710,Pierce Brosnan,1,0
2275,John Travolta,1,0
37165,Jim Carrey,1,0
9837,Val Kilmer,1,0
10708,Eddie Murphy,1,0
136400,Denzel Washington,1,0
10992,Jeff Goldblum,1,0
9654,Mark Wahlberg,1,0
2642,Sandra Bullock,0,1
8916,Woody Allen,1,0
19899,Vince Vaughn,1,0
2119,Tom Cruise,1,0
9641,Steve Martin,1,0
294254,Dylan O'Brien,1,0
38167,Julia Roberts,0,1
5994,Nicolas Cage,1,0
39514,Bruce Willis,1,0
9563,Al Pacino,1,0
547,Robert Redford,1,0
1538,Tom Cruise,1,0
9334,Dwayne Johnson,1,0
11128,Joaquin Phoenix,1,0
75780,Tom Cruise,1,0
8914,Thomas Jane,1,0
13576,Michael Jackson,1,0
39538,Matt Damon,1,0
10628,Jerry O'Connell,1,0
14836,Dakota Fanning,0,1
8645,Mark Wahlberg,1,0
9509,Denzel Washington,1,0
10067,Tim Allen,1,0
9384,Ben Stiller,1,0
